음식명,식품코드,1인분칼로리(kcal),탄수화물(g),단백질(g),지방(g),콜레스트롤(g),식이섬유(g),나트륨(g)
귤쥬스,68,78,20.8,0.4,0.2,0,0,26
근대,69,7,1.4,1,0.1,0.5,0.4,72
근대된장국,70,36.1,5.3,3.7,0.8,0.1,0.8,868
금귤,71,66,18,0.9,0.1,0,0.8,14
기장,72,22,4.5,0.7,0.1,0,0,0
김,73,2,0.9,0.7,0,0,0.1,0
김구이,74,3,0.9,0.9,0,0.5,0,29
김무침,75,74,5.7,5.2,6.2,2.3,0.4,363
김밥,76,306,57.4,9.2,4.2,64.5,0.7,601
김치(갓김치),77,14,3,1.4,0.3,0,0.6,319
김치(고들빼기김치),78,26,4.8,1.6,1.1,0,1,892
김치(깍두기),79,12,2.6,0.6,0.1,0,0.2,209
김치(깻잎김치),80,19,3.4,1.4,0.6,0,0.7,852
김치(나박김치),81,9,2.5,0.8,0.1,0,0.8,1256
김치(동치미),82,11,3,0.7,0.1,0,0.5,609
김치(무청김치),83,8,0.8,0.9,0.2,0,0,0
김치(배추김치),84,7,1.6,0.8,0.2,0,0.5,458
김치(백김치),85,7,1.8,0.6,0.1,0,0.5,380
김치(부추김치),86,21,3.3,1.9,0.8,0,0.9,916
김치(열무김치),87,13,3,1.1,0.2,0,0.5,218
김치(오이김치),88,16,3.2,1.2,0.3,0,0.5,803
김치(오이소박이),89,6,1.4,0.6,0.1,0,0.5,212
김치(총각김치),90,15,3,0.9,0.2,0,0.2,1211
김치(파김치),91,16,3.5,1,0.2,0,0.5,263
김치국,92,21.3,2.2,2.5,0.8,1.8,0.6,705
김치볶음,93,19.1,2,1,1.3,0,0.6,478
김치볶음밥,94,480.8,93,9.6,6.8,5,1.2,733
김치전,95,133.3,17.8,4.6,4.8,47.3,0.7,815
김치찌개,96,88.1,4,7.2,5.7,11.4,1,942
김튀김,97,208.2,25.8,7.5,11.6,2.9,0.6,172
깨(검정깨),98,11,0.3,0.4,1,0,0.1,0
깨(흰깨),99,12,0.4,0.4,1.1,0,0.1,0
깨소금,100,12,0.3,0.4,1.1,0,0.1,0
깻잎,101,5,1.2,0.6,0.1,0,0.3,0
깻잎장아찌,102,6,0.6,0.3,0,0,0.1,0
꼬막,103,20,0.3,3.5,0.5,13.4,0,0
꼬막찜,104,34,2,3.9,1.1,6.3,0.2,73
꽁치,105,74,0,8.8,3.9,31.1,0,36
꽁치구이,106,98,0.1,10,6,35.3,0,378
꽁치조림,107,60,1.8,6.6,2.8,21.6,0.3,137
꽃게,108,33,0.9,6.2,0.4,36,0,137
꽃게장,109,32,2.4,4.8,0.3,25.2,0.1,344
꽃게탕,110,98,7.1,14.4,1.5,70.6,0.6,874
꿀,111,59,15.9,0,0,0,0,1
낙지,112,33,0.1,6.9,0.4,52.8,0,136
낙지볶음,113,90,10.8,6.9,3,42.8,0.8,807
냉이,114,9,1.6,1.4,0.2,0,0.5,5
냉이된장국,115,43,5.1,4.6,1.1,2.9,0.8,891
넙치(광어),116,52,0.2,10.2,0.9,35.5,0,80
녹두,117,151,27.9,10,0.7,0,2.1,1
녹두묵,118,11,0,0,0,0,0,5
녹두빈대떡,119,198.4,21.8,9,8.8,7.9,1,591
녹차,120,2,0.3,0,0,0,0,8
녹차음료,121,2,0.4,0,0,0,0,9
누룽지,122,109.7,24.3,1.8,0.1,0,0.1,2
느타리버섯,123,6,1.5,0.7,0,0,0.2,1
느타리버섯볶음,124,24,2.7,0.9,1.4,0.1,0.3,217
늙은호박,125,16,4.5,0.5,0.1,0,0.5,1
다랑어(냉동),126,34,0,7.4,0.3,15,0,12
다랑어(통조림),127,59,0,3.6,4.7,7.6,0,87
다시마,128,3,1.5,0.4,0.1,0,0.2,194
다시마(말린것),129,1,0.5,0.1,0,0,0,31
다시마튀각,130,68,7.2,1.2,4.1,0,0.6,360
단무지,131,2,0.7,0.1,0,0,0.2,224
단팥빵,132,249,44.6,6.5,5.2,3.4,0.8,143
달걀,133,55,1.1,4.7,3.3,188,0,61
달걀국,134,73,3.5,6.1,3.7,199,0.1,532
달걀말이,135,74.2,2,4.9,5,191.5,0.1,305
달걀부침(달걀후라이),136,73.3,1.3,5.3,5,210.7,0,121
달걀찜,137,50.3,1.2,4.3,3,168.6,0,305
달래,138,3,0.6,0.3,0,0,0.1,1
달래된장찌개,139,30,2.9,2.7,1.2,0,0.3,448
달래무침,140,32,3,1.1,2.2,0,0.5,61
닭개장,141,141.1,5.9,13.1,7.8,92.6,1.1,573
닭고기,142,171,0.9,18.1,10.1,71.3,0,63
닭고기(가슴),143,198,0.6,17.9,12.9,74.1,0,55
"닭고기(가슴,껍질제거)",144,97,1.1,22.1,0.4,71.3,0,39
닭고기(날개),145,210,0.8,16.6,14.4,110.2,0,65
닭고기(다리),146,120,0.8,17.3,4.1,78.9,0,109
"닭고기(다리,껍질제거)",147,114,0.9,19.1,3.6,89.3,0,82
닭도리탕,148,201,12.2,17.1,9.7,74.2,0.7,544
닭볶음(닭갈비),149,322.7,20.7,23.4,16.8,102.9,1,913
닭양념튀김,150,335.2,21.4,20.2,19,136.4,0.8,339
닭죽,151,526.3,67.2,45.4,7.7,131.4,0.9,363
닭찜,152,254.3,15.4,22.3,11.7,95.6,0.6,500
닭튀김,153,328.4,7.4,24.9,21.3,163.8,0,662
당근,154,3,0.7,0.1,0,0,0.1,2
당면,155,70,17.2,0,0,0,0,1
대구,156,72,0.2,15.8,0.5,60.3,0,107
대구매운탕,157,119,9.1,18.2,2.3,53.6,1.5,485
대두,158,57,4.7,5.3,2.7,0,0.7,0
대추(건과),159,12,2.9,0.2,0.1,0,0.1,0
더덕,160,11,2.5,0.8,0.1,0,0.3,1
더덕무침,161,31,6.1,1.4,0.7,0,0.6,198
도라지,162,29,7.2,0.7,0.1,0,0.5,7
도라지나물,163,62,8.8,1,3.1,0,0.6,175
도라지생채,164,41,9.5,1.2,0.6,0,0.7,264
도우넛(링),165,309,30.5,5.5,19.5,82.5,0.2,270
도우넛(팥),166,439,50.3,7.3,16.8,121,0.9,207
도토리묵,167,30,7.1,0.1,0.1,0,0.1,39
도토리묵무침,168,52,8.6,1.1,1.7,0,0.3,405
돈까스,169,287.5,15.5,13.8,18.5,88.5,0.1,453
돌나물,170,4,0.8,0.5,0.1,0,0.2,5
돔(옥돔),171,55,0.1,8.9,1.9,38,0,40
동부,172,9,1.7,0.7,0,0,0.1,0
동태국,173,60.5,3.8,9.8,1,28.7,0.6,674
동태조림,174,80,2.3,15,1,51.3,0.4,515
동태찌개,175,71.1,4.5,11,1.4,31.3,0.6,437
돼지갈비구이,176,375,16.4,28,21.5,79,0.1,872
돼지갈비찜,177,324.4,9.4,26,20,87,0.3,745
돼지고기,178,157,0.7,11.6,11.4,0,0,11
돼지고기(갈비),179,270,1.3,24.1,18.1,89.7,0,79
돼지고기(삼겹살),180,513,1.2,26.7,44,99.2,0,68
돼지고기가공품(등심햄),181,20,0.5,2.5,0.6,6.3,0,162
돼지고기가공품(런천미트),182,39,0.4,2.3,2.8,9.3,0,124
돼지고기가공품(베이컨),183,17,0.4,1.6,0.9,7.1,0,133
돼지고기가공품(비엔나소시지),184,105,1,4.8,8.5,17.5,0,293
돼지고기가공품(프랑크프르트소시지),185,97,0.8,5,7.7,17.5,0,230
돼지고기구이,186,427.3,1.8,28.4,32.4,89.6,0,1065
돼지고기덮밥,187,660.3,99.8,22.7,17.2,46.3,0.9,831
돼지고기볶음,188,260,10.1,15.4,17.6,44.2,0.6,562
돼지고기장조림,189,91,2.6,6.4,5.8,19.3,0.1,233
돼지고기찌개,190,136.2,5.1,10,8.7,24.6,0.6,686
돼지불고기,191,256,11.7,13.9,17.2,40.4,0.6,379
된장,192,24,2.7,2,0.7,0,0.3,898
된장,193,13,1.5,1.1,0.4,0,0.1,499
된장(가루된장),194,33,2.3,4,0.8,0,0.4,0
된장국,195,60,5.6,5.6,2.2,2.3,0.4,688
된장찌개,196,60.2,6.1,5.4,2.2,1.8,0.6,637
두릅,197,13,2.2,2.2,0.2,1.5,0.8,3
두릅무침,198,54,8.1,3.2,2.5,0,1.2,987
두부,199,50,0.8,5.6,3.4,0,0.1,3
두부김치,200,156,5.4,12.1,11,7.1,0.9,371
두부부침,201,50.1,0.6,4.1,3.9,0,0.1,111
두부조림,202,89.4,3.3,8.2,5.9,0,0.5,355
두부찌개,203,88,5.6,8.5,4.7,0.7,0.4,285
두유음료,204,144,9.6,9,7.4,0,0,277
들기름,205,35,0,0,4,0,0,0
들깨,206,8,0.8,0.3,0.7,0,0.6,0
들미나리,207,5,1.1,0.7,0.1,0,0.4,5
딸기,208,26,6.7,0.6,0.2,0,0.4,10
딸기잼,209,49,12.6,0.1,0,0,0.1,1
땅콩,210,74,2.8,3.3,6.3,0,0.4,0
땅콩버터,211,30,1.6,0.6,2.6,0,0.1,23
떡국,212,399,79.3,11.2,3.4,70.3,0.1,1109
떡만두국,213,470,73.3,15.6,12.3,50.7,0.4,1067
떡볶이,214,170,34.1,4.7,1.9,5.6,0.4,457
라면,215,521,81.6,13.2,19.8,75.9,0.7,1339
롤빵,216,142,21.9,4.5,4.1,0.5,0,221
롤케익,217,219,28.9,4.5,9.9,0,0.1,69
마가린,218,36,0,0,4.1,0.1,0,22
마늘,219,13,3,0.5,0,0,0.1,0
마늘장아찌,220,5.5,1.2,0.4,0,0,0.1,8
마늘쫑무침,221,14,2.4,0.5,0.6,0,0.3,75
마늘쫑볶음,222,31,4,0.8,1.8,0,0.7,59
마늘쫑장아찌,223,5.5,1.4,0.3,0,0,0.2,1
마요네즈,224,74,0.9,0.1,7.5,21.2,0,46
마파두부,225,59,3.4,4,3.7,2.5,0.3,360
막걸리,226,184,7.2,6.4,0,0,0,24
만두국,227,473,42.4,24.9,22.8,149.8,0.7,2190
맛술(미림),228,7,1.8,0,0,0,0,2
맥주,229,131,9.9,1.1,0,0,0,18
머위,230,9,1.9,1.2,0.1,0,0.4,6
머위나물,231,29,3,1.6,1.8,0,0.7,136
멍게,232,21,2,1.8,0.5,16.7,0,0
메기,233,86,0.1,11.3,4,48,0,35
메기매운탕,234,103,4.6,11.9,4.5,37.6,0.7,726
메밀국수(건면),235,447,86.7,18.2,3,0,0,1105
메추라기알,236,70,0.9,5,4.8,188,0,62
메추라기알장조림,237,88,4.4,5.9,4.9,207.3,0,613
"멸치(자건품, 중)",238,12,0.2,1.9,0.3,5.7,0,43
멸치볶음,239,47,2.1,4.2,2.3,9.5,0,146
명란알,240,28,0.3,5.6,0.4,85,0,41
명란젓,241,18,0.4,3.1,0.5,52.5,0,530
명태(동태),242,37,0.1,8,0.3,29,0,105
명태(북어),243,58,0,12.3,0.6,59.4,0,99
모듬회,244,185,6.4,32.4,3,109.1,0.4,740
모밀국수,245,472,92.4,20.6,3.2,2.6,0.7,1462
모시조개젓,246,5,0.2,0.9,0.1,4.4,0,0
목이버섯(말린것),247,5,1.4,0.2,0,0,0.2,1
무,248,28,6.8,1.2,0.1,0,0.5,9
무국,249,61.4,10.8,4.3,0.9,5,0.8,418
무나물,250,53,6.5,1.3,3,0,0.5,226
무된장국,251,56,10.3,3.6,0.7,1.8,0.8,674
무말랭이,252,11,2.6,0.4,0.1,0,0.3,5
무말랭이무침,253,23.3,4.3,0.8,0.7,0,0.5,93
무말랭이장아찌,254,19,3.5,0.7,0.6,0,0.4,228
무생채,255,55,9.1,1.6,2.1,0,0.8,277
무장아찌(무초절임),256,13.2,1.7,0.3,0.9,0,0.2,198
무짠지,257,3,0.8,0.1,0,0,0.2,256
무청,258,11,2.7,1.2,0.1,0,0.6,22
문어,259,7,0,1.6,0.1,9,0,21
물냉면,260,583,89,33.1,10.3,198.5,2.2,4067
물엿,261,59,15.1,0,0,0,0,0
미꾸라지,262,58,0.1,9.7,1.7,106.2,0,51
미나리나물,263,18.5,1.9,0.7,1.3,0,0.4,114
미나리무침,264,21,2.7,0.7,1.2,0,0.4,175
미더덕,265,8,0.4,1,0.2,3.2,0,43
미숫가루,266,85,14.9,3.1,1.1,0,0.3,6
미역(말린것),267,6,2.2,1.2,0.2,0,0.1,366
미역(생것),268,3,1.5,0.6,0.1,0,0.2,0
미역국,269,20.4,2.4,2.1,1.2,1.8,0.1,780
미역줄기볶음,270,12,1.5,0.6,0.9,0,0.2,271
미역초무침,271,23.1,4.4,0.8,1,0,0.3,256
밀가루(중력분),272,170,33.3,5.2,0.5,0,0.1,9
바나나,273,108,28.5,1.6,0.3,0,0.3,3
바지락조개(모시조개),274,24,1,4,0.3,8.8,0,130
밤,275,16,3.7,0.3,0.1,0,0.1,0
배,276,59,16.4,0.5,0.2,0,0.9,5
배추,277,6,1.7,0.5,0,0,0.4,18
배추겉절이,278,33.4,3.5,1.1,2.3,0,0.7,502
배추나물,279,13,1.6,0.6,0.8,0,0.3,171
백미,280,289,64,5,0.3,0,0.2,6
백미죽,281,194.6,43,3.2,0.2,0,0.2,4
백설기,282,222,49.3,3.3,0.8,0,0.1,222
백합,283,19,0.9,2.9,0.3,11,0,0
뱅어포,284,36,0.1,6,1.1,83.4,0,68
버섯볶음,285,26.1,2.5,0.9,1.8,0.1,0.3,164
버터,286,37,0,0,4.2,10,0,36
보리,287,34,7.7,0.9,0.1,0,0.1,0
보리밥,288,380.6,84.2,6.8,0.5,0,0.3,7
보신탕,289,154,7.5,11,10,19.8,1.4,671
보쌈,290,202,12.4,28.4,5.3,74.6,1.8,1878
복매운탕,291,93,6.3,15.9,1.5,43.2,1.4,644
복숭아(통조림),292,88,24,0.3,0.1,0,0.5,8
복어,293,80,0.1,16.9,0.9,56.7,0,137
복지리,294,123,6.2,22.1,1.9,64.6,0.7,411
볶음밥,295,461.5,71.6,12,12.7,129.7,0.5,587
볼락,296,46,0,8,1.3,33.8,0,34
부대찌개,297,171.3,13.3,9.1,9.8,16.9,0.9,778
부추,298,6,1.2,0.9,0.2,0,0.3,2
부추무침,299,24.3,3.3,1.7,1.1,0,0.7,390
부추전,300,158,21.8,4.6,5.3,24.8,0.4,317
부추전(가정식),301,263,36.4,7.7,8.9,41.4,0.6,528
부추전(외식),302,44,6.1,1.3,1.5,6.9,0.1,88
북어국,303,112.4,2.8,16.3,3.8,119.9,0.2,861
북어조림,304,77,3,13.9,0.7,44.5,0,341
북어찜,305,120,5.8,18.7,2.4,57.7,0.4,572
분말조미료(쇠고기),306,2,0.3,0.1,0,0,0,262
불고기,307,197.5,6.9,17.4,10.9,53,0.2,700
불고기(가정식),308,132,4.6,11.6,7.3,35.3,0.2,466
불고기(외식),309,230.4,8.1,20.3,12.8,61.8,0.3,816
붉은고추,310,1,0.2,0.1,0,0,0.1,0
브로콜리,311,8,1.5,1.5,0.1,0,0.4,3
비름,312,12,2,1.3,0.3,0,0.3,2
비름나물,313,29,2.9,1.7,1.8,0,0.4,153
비빔국수,314,599,117.2,17,5.8,62,1.5,2933
비빔냉면,315,552,96.1,25.6,7.7,117.3,0.9,1354
비빔밥,316,588.9,95.1,20.5,14.1,214.7,1.8,883
비스킷(소프트),317,131,15.7,1.4,6.9,5.5,0,55
비스킷(하드),318,86,15.6,1.5,2,4.4,0,64
빵가루,319,28,5.8,1.1,0.3,0,0,43
사과,320,69,18.2,0.3,0.6,0,0.8,11
사우전드아일랜드드레싱,321,72,1.7,0.1,7.3,39,0.1,114
사이다,322,100,25.3,0,0,0,0,13
사탕,323,24,5.9,0,0,0,0,2
삼겹살구이,324,610.4,1.5,31.7,52.4,118,0,843
삼계탕(닭백숙),325,395,32,30.4,15.4,134.5,0.6,857
삼치,326,55,0,7.6,2.4,28.8,0,23
삼치구이,327,77,0,8.6,4.4,32.6,0,282
삼치조림,328,72.5,4.3,8.5,2.6,27.7,0.6,391
상추,329,2,0.4,0.3,0.1,0,0.2,2
상추겉절이,330,34,2.8,1.3,2.5,0,0.6,490
새우(중하),331,33,0,7,0.3,45.5,0,95
"새우(중하,자건품)",332,15,0.1,2.7,0.3,19.1,0,0
새우볶음,333,9.1,0.4,1.4,0.2,9.8,0,39
새우젓,334,2,0.1,0.4,0,6.9,0,325
새우젓무침,335,2.4,0.1,0.4,0.1,3.1,0,311
샌드위치,336,358,35,12.8,18.4,191.2,0.3,439
생강,337,1,0.1,0,0,0,0,0
생선가스,338,116,6.2,9.7,5.7,68.3,0,301
생선전,339,66.1,3.2,5.2,3.4,52.8,0,229
생선초밥,340,454.2,74.8,25.4,4.2,119.7,0.4,341
샤베트,341,102,23,0.7,0.8,4.8,0,10
선짓국,342,70,4,9.9,1.9,28,0.6,617
설렁탕,343,171.1,18.9,13,4.8,37.5,0.4,1653
설탕(백설탕),344,46,12,0,0,0,0,0
설탕(황설탕),345,46,11.9,0,0,0,0,1
셀러리,346,2,0.5,0.2,0,0,0.1,14
소금,347,0,0,0,0,0,0,336
소라,348,19,0.5,3.6,0.2,21.2,0,92
소면(건면),349,490,104.4,11.7,0.3,0,0.3,1945
소주,350,63,0,0,0,0,0,0
소주,351,282,0,0,0,0,0,0
송편(깨),352,95,20.5,1.6,0.6,0,0.1,97
"쇠고기,수입우(갈비)",353,263,0.9,18.5,19.5,55,0,41
"쇠고기,수입우(등심)",354,101,0.4,7.9,7.2,27,0,20
"쇠고기,수입우(사태)",355,42,0.3,6.2,1.6,18.6,0,18
"쇠고기,수입우(양지)",356,53,0.4,7.4,2.3,18.6,0,17
"쇠고기,수입우(우둔)",357,34,0.3,5.5,1.1,13.8,0,11
"쇠고기,한우",358,48,0.2,4.8,2.8,0,0,65
"쇠고기,한우(등심)",359,86,0.5,9,5.1,28.8,0,199
"쇠고기,한우(사태)",360,46,0.3,7.1,1.6,17.2,0,26
"쇠고기,한우(양지)",361,58,0.4,7.5,2.8,17.9,0,126
쇠고기국,362,66,3.2,7.7,2.7,20.2,0.4,546
쇠고기미역국,363,63,3.7,7.3,3.4,16.3,0.2,1056
쇠고기부산물(간),364,39,0.4,5.7,1.4,73.8,0,20
쇠고기부산물(곱창),365,56,0.2,3.6,4.5,69.6,0,18
쇠고기부산물(선지),366,20,1,4,0,13.6,0,239
쇠고기산적,367,104,9.1,6.5,4.6,31.6,0.3,242
쇠고기전골,368,104,6.1,8.7,5.5,23.3,0.8,367
수박,369,31,6.9,1,0.5,0,0.3,1
수수,370,25,5.2,0.7,0.2,0,0,0
수수밥,371,465.8,103.5,8.6,1,0,0.8,9
수육(쇠고기),372,127.1,3.2,18.8,4.2,60.4,0.1,66
수제비,373,453.2,14.3,2.8,0.2,94.4,0,0
숙주나물,374,4,0.6,0.8,0,0,0.1,1
숙주나물,375,15.1,1.1,1.1,1,0,0.2,260
순대,376,64.1,1.1,0.8,3.1,0,0.6,848
순대국,377,127,11.3,6.7,5.1,44.3,0.9,272
순두부,378,40,0.9,4,2.7,0,0.1,5
순두부찌개,379,80.3,4.3,7.7,4.3,75.5,0.6,374
스낵과자(밀가루),380,145,20.6,2.2,5.9,0,0.1,213
스낵과자(옥수수),381,237,29.4,2.3,12.2,0,0,212
스파게티,382,514.4,85.9,16.5,9.9,11.3,0.5,419
스파게티(건면),383,309,63.4,9.5,0.2,0,0.2,16
스프,384,152.2,22.2,3.4,6.2,14.2,1,61
시금치,385,14,2.7,1.4,0.2,0,0.4,24
시금치나물,386,26,3.1,1.7,1.3,0,0.4,154
시금치된장국,387,35.1,5.1,3.4,0.8,1.4,0.6,621
시래기된장국,388,38,5.4,3.7,0.8,1.9,0.8,784
시리얼(콘푸레이크),389,93,21.7,1.7,0.2,0,0.6,248
식빵,390,156,28.1,4.6,2.9,8.3,0.2,36
식초,391,1,0.2,0,0,0,0,0
식혜,392,89,26.6,0.5,0,0,0,10
쌀과자,393,183,31.3,1.3,6.4,0,1.6,90
쌀밥,394,405,89.5,6.6,0.4,0,0.3,8
쌈장,395,35,5.3,1.8,0.8,0,0.3,592
쌍화차(분말),396,74,17.5,0.5,0.2,0,0,27
쑥,397,31,9,2.4,0,0,2.1,5
쑥갓,398,1,0.2,0.2,0,0,0.1,2
쑥된장국,399,52.5,11.7,4.5,0.5,1.7,2.5,513
씀바귀,400,12,2.8,0.9,0.1,0,0.4,11
씀바귀나물,401,43,6.1,1.6,2.2,0,0.6,376
아구찜,402,89,5.6,12.5,2.5,39.3,1.1,350
아귀,403,48,0.2,10.1,0.4,38.5,0,91
아몬드,404,48,1.6,1.5,4.3,0,0,0
아스파라거스,405,0,0.1,0.1,0,0,0,0
아욱,406,10,1.3,1.8,0.3,0,0.5,18
아욱된장국,407,39.2,4.2,5.2,1,9.7,0.8,663
아이스크림,408,216,27.8,4.7,9.6,38.4,0,132
"아이스크림(소프트,바닐라)",409,178,17.8,3.3,10.4,37.6,0,49
아이스크림바(초콜렛),410,173,22.6,3,8.8,37.6,0,61
아이스크림콘(바닐라),411,167,22,2.7,7.7,24.4,0,84
약과,412,255,43,2.3,8,42.6,0.5,20
양념꽃게장,413,39.2,3.9,5.3,0.5,23.7,0.5,709
양배추,414,6,1.6,0.2,0,0,0.2,2
양배추샐러드,415,56,2.9,0.3,4.8,13.6,0.2,52
양상추,416,3,0.8,0.3,0,0,0.2,2
양송이버섯,417,2,0.5,0.4,0,0,0.1,1
양주(위스키),418,71,0,0,0,0,0,1
양파,419,3,0.8,0.1,0,0.1,0,0
어묵,420,35,4.4,3,0.6,4.1,0,187
어묵국,421,53,7,4.6,0.9,10.5,0.2,368
어묵볶음,422,88.7,10.1,5.5,3.1,12.3,0.1,526
어패류액젓(멸치액젓),423,1,0,0.2,0,4,0,171
어패류액젓(어란젓),424,12,0.2,1.5,0.5,17.5,0,0
어패류액젓(창란젓),425,12,0.8,1.3,0.3,16.5,0,1
연근,426,17,4.1,0.5,0,0,0.2,9
연근조림,427,24,5.2,0.8,0.3,0,0.4,182
연두부,428,45,0.9,5.7,2.6,0,0.1,6
연두부찌개,429,88.2,2.8,9.5,5,77.8,0.2,128
연어(훈제),430,34,0.1,4.6,1.5,9,0,159
열무,431,6,1.3,1.1,0,0,0.4,16
엿,432,127,31.4,0.7,0,0,0,3
오곡밥,433,334.1,72.5,7,0.8,0,0.7,222
오렌지,434,86,22.4,1.8,0.2,0,0.6,2
오렌지주스,435,84,21,1.4,0.4,0,0,4
오리고기,436,525,1.7,26.4,45.5,132,0,140
오리고기로스,437,508.1,2,25.5,43.9,127.3,0.1,834
오므라이스,438,519.4,90.8,14.6,9.7,206.8,0.9,858
오이,439,4,0.9,0.3,0,0,0.2,2
오이생채,440,7.1,1.2,0.3,0.3,0,0.2,258
오이생채(가정식),441,6.5,1.1,0.2,0.3,0,0.2,235
오이생채(단체급식),442,12,1.9,0.4,0.6,0,0.4,423
오이지,443,1,0.3,0.1,0,0,0.1,217
오이지무침,444,7.1,1.2,0.3,0.3,0,0.2,258
오이피클,445,33.7,9.3,0.2,0.1,0,0.2,244
오징어,446,33,0,6.8,0.5,102.9,0,63
오징어(말린것),447,53,0,10.2,1,127,0,147
오징어국,448,62,3.7,10.2,0.8,141.7,0.6,494
오징어덮밥,449,455.6,84.2,23.7,1.9,249.3,1.4,736
오징어무침,450,40,2.8,6.1,0.6,85.8,0.3,319
오징어볶음,451,95,6.8,10.6,3.2,147.8,0.5,338
오징어젓무침,452,15.4,0.4,2.8,0.2,29.3,0,777
오징어찌개,453,38,1.8,6.6,0.5,93.9,0.2,216
오징어채무침,454,98.3,5.7,13.5,2.5,176.4,0.2,416
오징어채볶음,455,108,5.3,14.2,3.2,189.6,0.1,485
오징어튀김,456,46,2.3,4.5,1.9,63.5,0,39
오징어포조림,457,31,2,4.4,0.6,58.2,0,137
옥수수기름,458,35,0,0,4,0,0,0
옥수수통조림,459,10,2.2,0.3,0.1,0,0.1,29
